FLD_MATCODIGO;FLD_MATNOMBRE;TIPO;FECHA;MMP;StockSeguridad;PtoReorden;StockMaximo;StockMinimo;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/01/2012 0:00:00.000;26215,53;216,85;35076,03;61291,57;26215,53;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/01/2012 0:00:00.000;7453,33;596,12;11161,37;18614,71;7453,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/01/2012 0:00:00.000;28632;503,79;39644,59;68276,59;28632;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/01/2012 0:00:00.000;32213,33;493,05;43569,08;75782,42;32213,33;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/01/2012 0:00:00.000;27898,67;392,27;37392,80;65291,47;27898,67;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/02/2012 0:00:00.000;17760,67;1233,20;28582,56;46343,23;17760,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/02/2012 0:00:00.000;57064,53;4327,26;87469,76;144534,29;57064,53;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/02/2012 0:00:00.000;53932,33;1685,49;71412,72;125345,05;53932,33;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/02/2012 0:00:00.000;20657,53;629,38;27254,93;47912,46;20657,53;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/02/2012 0:00:00.000;24930,33;2221,98;39544,05;64474,38;24930,33;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/02/2012 0:00:00.000;22159,53;163,90;30185,66;52345,19;22159,53;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/02/2012 0:00:00.000;27791,67;902,83;38439,67;66231,34;27791,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/02/2012 0:00:00.000;20466,67;401,00;28494,99;48961,65;20466,67;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/02/2012 0:00:00.000;26397,87;338,67;36262,59;62660,45;26397,87;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/02/2012 0:00:00.000;7853,33;489,43;12096,44;19949,78;7853,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/02/2012 0:00:00.000;27138;1002,44;40189,58;67327,58;27138;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/02/2012 0:00:00.000;30546,67;724,45;43395,34;73942,00;30546,67;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/02/2012 0:00:00.000;27153;474,96;37907,02;65060,02;27153;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/02/2012 0:00:00.000;18721,73;814,74;26016,10;44737,83;18721,73;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/02/2012 0:00:00.000;106073,93;1282,72;141528,04;247601,97;106073,93;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/02/2012 0:00:00.000;17944,90;675,95;26348,43;44293,33;17944,90;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/02/2012 0:00:00.000;13575;74,89;18340,23;31915,23;13575;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/02/2012 0:00:00.000;14530;351,61;19861,27;34391,27;14530;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/02/2012 0:00:00.000;15242,97;343,93;20742,37;35985,34;15242,97;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/02/2012 0:00:00.000;31063,33;459,25;42235,54;73298,87;31063,33;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/03/2012 0:00:00.000;28356,67;1159,44;38001,96;66358,63;28356,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/03/2012 0:00:00.000;19966,67;104,92;27006,45;46973,12;19966,67;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/03/2012 0:00:00.000;27620,20;355,66;36588,29;64208,49;27620,20;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/03/2012 0:00:00.000;8673,33;511,67;13277,59;21950,92;8673,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/03/2012 0:00:00.000;26921,33;493,22;37627,15;64548,49;26921,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/03/2012 0:00:00.000;30213,33;410,62;41321,97;71535,30;30213,33;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/03/2012 0:00:00.000;27263,33;557,49;37150,97;64414,30;27263,33;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/03/2012 0:00:00.000;19956,20;441,75;27117,33;47073,53;19956,20;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/03/2012 0:00:00.000;103564,13;1564,29;141781,52;245345,65;103564,13;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/03/2012 0:00:00.000;18041,57;612,42;25843,60;43885,17;18041,57;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/03/2012 0:00:00.000;13968,33;179,60;19096,34;33064,67;13968,33;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/03/2012 0:00:00.000;14932;428,80;20315,29;35247,29;14932;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/03/2012 0:00:00.000;15174,33;316,98;20322,35;35496,69;15174,33;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/03/2012 0:00:00.000;36086,67;1736,28;47075,97;83162,64;36086,67;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/03/2012 0:00:00.000;17494,67;1407,98;26426,49;43921,16;17494,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/03/2012 0:00:00.000;55931,20;2845,60;81802,79;137733,99;55931,20;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/03/2012 0:00:00.000;57956,17;2271,49;75479,62;133435,79;57956,17;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/03/2012 0:00:00.000;20175,53;610,15;27192,08;47367,61;20175,53;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/03/2012 0:00:00.000;25013,67;2447,08;39638,79;64652,46;25013,67;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/03/2012 0:00:00.000;21288,50;584,37;29411,77;50700,27;21288,50;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/04/2012 0:00:00.000;27511;390,12;37408,14;64919,14;27511;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/04/2012 0:00:00.000;18087,87;308,35;25333,88;43421,75;18087,87;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/04/2012 0:00:00.000;103990,80;1860,18;144914,19;248904,99;103990,80;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/04/2012 0:00:00.000;17436,57;688,21;25324,10;42760,66;17436,57;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/04/2012 0:00:00.000;14041,67;159,81;19174,80;33216,46;14041,67;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/04/2012 0:00:00.000;15289,67;383,37;20789,22;36078,89;15289,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/04/2012 0:00:00.000;14926,87;257,53;20411,48;35338,35;14926,87;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/04/2012 0:00:00.000;35553,33;1470,92;46349,24;81902,57;35553,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/04/2012 0:00:00.000;21594,33;422,46;28689,28;50283,61;21594,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/04/2012 0:00:00.000;60060,53;1508,79;83788,16;143848,70;60060,53;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/04/2012 0:00:00.000;64699,50;3158,58;84132,21;148831,71;64699,50;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/04/2012 0:00:00.000;20609,87;707,35;27908,02;48517,89;20609,87;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/04/2012 0:00:00.000;25833,67;878,76;37562,18;63395,85;25833,67;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/04/2012 0:00:00.000;21232,20;392,47;29377,46;50609,66;21232,20;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/04/2012 0:00:00.000;29134;1234,63;39826,03;68960,03;29134;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/04/2012 0:00:00.000;19630;430,15;27543,09;47173,09;19630;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/04/2012 0:00:00.000;27629,93;430,14;36618,18;64248,11;27629,93;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/04/2012 0:00:00.000;8200;532,33;12378,34;20578,34;8200;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/04/2012 0:00:00.000;27388;595,99;38685,61;66073,61;27388;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/04/2012 0:00:00.000;31120;520,34;42280,78;73400,78;31120;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/05/2012 0:00:00.000;29162,67;881,21;38285,10;67447,77;29162,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/05/2012 0:00:00.000;18810;405,05;26301,66;45111,66;18810;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/05/2012 0:00:00.000;27309,40;335,92;36248,93;63558,33;27309,40;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/05/2012 0:00:00.000;10666,67;907,17;14530,17;25196,83;10666,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/05/2012 0:00:00.000;25644;464,65;35913,33;61557,33;25644;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/05/2012 0:00:00.000;30286,67;198,26;40638,25;70924,91;30286,67;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/05/2012 0:00:00.000;26225,33;484,22;36730,07;62955,40;26225,33;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/05/2012 0:00:00.000;18913,53;558,43;27179,85;46093,39;18913,53;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/05/2012 0:00:00.000;102783,80;1210,66;141642,47;244426,27;102783,80;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/05/2012 0:00:00.000;17148,43;472,98;24185,98;41334,41;17148,43;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/05/2012 0:00:00.000;14916,67;361,55;19929,89;34846,55;14916,67;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/05/2012 0:00:00.000;13481,67;406,68;18765,46;32247,13;13481,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/05/2012 0:00:00.000;15707,43;296,93;21500,38;37207,82;15707,43;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/05/2012 0:00:00.000;34100;942,28;44865,87;78965,87;34100;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/05/2012 0:00:00.000;16996,33;729,51;24753,69;41750,03;16996,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/05/2012 0:00:00.000;56501,60;4329,68;86975,98;143477,58;56501,60;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/05/2012 0:00:00.000;69982,83;4018,03;91850,30;161833,13;69982,83;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/05/2012 0:00:00.000;18431,27;869,18;26382,58;44813,85;18431,27;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/05/2012 0:00:00.000;27500,33;2268,32;42632,73;70133,06;27500,33;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/05/2012 0:00:00.000;22683,63;213,56;30518,93;53202,56;22683,63;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/06/2012 0:00:00.000;23114,90;642,33;31752,61;54867,51;23114,90;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/06/2012 0:00:00.000;30218;1243,17;39957,89;70175,89;30218;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/06/2012 0:00:00.000;19143,33;210,69;26314,31;45457,64;19143,33;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/06/2012 0:00:00.000;26160,97;488,00;36359,65;62520,61;26160,97;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/06/2012 0:00:00.000;13210;1324,05;17195,79;30405,79;13210;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/06/2012 0:00:00.000;25610,67;259,75;35019,69;60630,36;25610,67;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/06/2012 0:00:00.000;30820;426,06;41458,56;72278,56;30820;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/06/2012 0:00:00.000;26752,67;559,55;36494,36;63247,03;26752,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/06/2012 0:00:00.000;19879,67;419,64;26687,96;46567,62;19879,67;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/06/2012 0:00:00.000;102044;1548,15;139588,89;241632,89;102044;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/06/2012 0:00:00.000;16405,10;437,28;22949,29;39354,39;16405,10;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/06/2012 0:00:00.000;15528,33;446,95;20854,13;36382,47;15528,33;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/06/2012 0:00:00.000;11501,67;978,57;18169,09;29670,76;11501,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/06/2012 0:00:00.000;16110,13;196,90;21619,55;37729,68;16110,13;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/06/2012 0:00:00.000;37476,67;1515,40;49911,52;87388,19;37476,67;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/06/2012 0:00:00.000;22263,67;1676,39;32316,05;54579,71;22263,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/06/2012 0:00:00.000;57694,93;2823,60;84402,05;142096,99;57694,93;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/06/2012 0:00:00.000;72143,33;3523,44;93780,34;165923,67;72143,33;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/06/2012 0:00:00.000;19219,93;663,12;26675,93;45895,87;19219,93;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/06/2012 0:00:00.000;31666,67;2830,97;47448,88;79115,55;31666,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/07/2012 0:00:00.000;25610,67;369,19;35478,06;61088,72;25610,67;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/07/2012 0:00:00.000;29760;637,42;41473,97;71233,97;29760;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/07/2012 0:00:00.000;27013,67;386,65;36715,74;63729,41;27013,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/07/2012 0:00:00.000;20227;655,67;27175,75;47402,75;20227;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/07/2012 0:00:00.000;112064;2851,53;150961,69;263025,69;112064;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/07/2012 0:00:00.000;17140,13;235,37;22782,92;39923,05;17140,13;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/07/2012 0:00:00.000;15535,13;436,73;20615,16;36150,29;15535,13;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/07/2012 0:00:00.000;11168;1129,58;18391,59;29559,59;11168;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/07/2012 0:00:00.000;17246,90;672,43;22920,62;40167,52;17246,90;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/07/2012 0:00:00.000;37670;1157,47;49876,49;87546,49;37670;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/07/2012 0:00:00.000;20396,67;530,83;28202,53;48599,20;20396,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/07/2012 0:00:00.000;54684,27;2093,37;80708,28;135392,54;54684,27;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/07/2012 0:00:00.000;77316,67;3846,58;100146,86;177463,53;77316,67;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/07/2012 0:00:00.000;19654,27;611,17;28192,43;47846,70;19654,27;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/07/2012 0:00:00.000;29000;1054,09;38405,92;67405,92;29000;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/07/2012 0:00:00.000;23315,23;680,96;31507,48;54822,71;23315,23;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/07/2012 0:00:00.000;30364;1232,26;41483,24;71847,24;30364;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/07/2012 0:00:00.000;19473,33;423,95;27221,74;46695,07;19473,33;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/07/2012 0:00:00.000;26635,27;499,32;36301,43;62936,70;26635,27;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/07/2012 0:00:00.000;13923,33;1646,14;18038,35;31961,68;13923,33;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/08/2012 0:00:00.000;17581,90;586,01;23053,37;40635,27;17581,90;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/08/2012 0:00:00.000;37333,33;1089,45;48953,14;86286,48;37333,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/08/2012 0:00:00.000;17131,33;661,69;23974,01;41105,34;17131,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/08/2012 0:00:00.000;54952;2042,75;72761,66;127713,66;54952;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/08/2012 0:00:00.000;78830;4319,90;102683,38;181513,38;78830;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/08/2012 0:00:00.000;19713,40;905,86;27880,89;47594,29;19713,40;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/08/2012 0:00:00.000;26500;1445,16;36273,40;62773,40;26500;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/08/2012 0:00:00.000;24179,67;457,11;32039,23;56218,90;24179,67;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/08/2012 0:00:00.000;30109,33;352,35;40120,27;70229,60;30109,33;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/08/2012 0:00:00.000;19120;410,50;26643,98;45763,98;19120;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/08/2012 0:00:00.000;26090,33;470,04;35766,68;61857,01;26090,33;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/08/2012 0:00:00.000;16356,67;1677,63;21156,97;37513,64;16356,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/08/2012 0:00:00.000;25700;155,82;34368,21;60068,21;25700;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/08/2012 0:00:00.000;31060;276,57;41489,67;72549,67;31060;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/08/2012 0:00:00.000;27146;365,73;36157,89;63303,89;27146;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/08/2012 0:00:00.000;21382,67;819,01;28510,26;49892,93;21382,67;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/08/2012 0:00:00.000;111997;2784,48;150384,39;262381,39;111997;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/08/2012 0:00:00.000;17113,43;247,43;22802,82;39916,25;17113,43;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/08/2012 0:00:00.000;15203,47;362,87;20298,84;35502,31;15203,47;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/08/2012 0:00:00.000;12786,67;419,65;18711,31;31497,97;12786,67;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/09/2012 0:00:00.000;30458;257,59;41475,02;71933,02;30458;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/09/2012 0:00:00.000;19886,67;291,35;26891,84;46778,51;19886,67;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/09/2012 0:00:00.000;26258,63;484,90;36270,08;62528,71;26258,63;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/09/2012 0:00:00.000;16636,27;1449,67;21455,51;38091,78;16636,27;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/09/2012 0:00:00.000;25633,33;258,99;34982,90;60616,23;25633,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/09/2012 0:00:00.000;31193,33;367,32;42194,97;73388,30;31193,33;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/09/2012 0:00:00.000;26982,67;423,87;37331,61;64314,28;26982,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/09/2012 0:00:00.000;22187,67;532,08;29725,70;51913,37;22187,67;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/09/2012 0:00:00.000;113592,33;3303,22;153044,75;266637,09;113592,33;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/09/2012 0:00:00.000;18110,10;637,61;24413,28;42523,38;18110,10;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/09/2012 0:00:00.000;14586,80;507,55;20109,79;34696,59;14586,80;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/09/2012 0:00:00.000;13002;1043,69;19735,42;32737,42;13002;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/09/2012 0:00:00.000;17722,27;467,98;23413,05;41135,32;17722,27;   
